Date,Open,High,Low,Close
10/2021,"4,317.16","4,608.08","4,278.94","4,605.38"
09/2021,"4,528.80","4,545.85","4,305.91","4,307.54"
08/2021,"4,406.86","4,537.36","4,367.73","4,522.68"
07/2021,"4,300.73","4,429.97","4,233.13","4,395.26"
06/2021,"4,216.52","4,302.43","4,164.40","4,297.50"
05/2021,"4,191.98","4,238.04","4,056.88","4,204.11"
04/2021,"3,992.78","4,218.78","3,992.78","4,181.17"
03/2021,"3,842.51","3,994.41","3,723.34","3,972.89"
02/2021,"3,731.17","3,950.43","3,725.62","3,811.15"
01/2021,"3,764.61","3,870.90","3,662.71","3,714.24"
12/2020,"3,645.87","3,760.20","3,633.40","3,756.07"
11/2020,"3,296.20","3,645.99","3,279.74","3,621.63"
